as_of_utc=2026-02-06 15:40:00 spot=68809.87 dvol=62.85
Trigger Time,Entry Spot,Entry DVOL,Strike,Premium USD,Days to Expiry (as-of),MTM PnL Proxy USD,Profitable?
2026-01-29 15:10:00,85338.8,39.8,72537.9,1629.4,13.0,-3729.7,No
2026-01-30 01:45:00,82018.9,44.2,69716.0,1740.7,13.4,-824.0,No
2026-01-31 17:10:00,78846.8,48.1,67019.8,1820.9,15.1,63.8,Yes
2026-02-02 03:25:00,75102.9,49.8,63837.5,1795.7,16.5,-42.7,No
2026-02-03 18:50:00,73190.0,54.6,62211.5,1918.5,18.1,-9.3,No
2026-02-05 15:20:00,67599.4,63.9,57459.5,2073.5,20.0,49.6,Yes
2026-02-05 20:15:00,64271.3,75.4,54630.6,2325.4,20.2,291.1,Yes
2026-02-06 00:20:00,61060.2,87.7,51901.2,2567.5,20.4,524.6,Yes
