entry_time,entry_price,entry_dvol,max_iv_21d,min_price_21d,final_pnl,roi,is_itm
2025-02-03 01:00:00,93435.82,59.24,61.44,92786.53,2655.349319674482,0.28418965228479637,False
2025-02-28 01:00:00,81661.55,54.31,62.26,77655.26,2127.6031885548314,0.26053916299100754,False
2025-03-04 01:00:00,83380.55,61.75,62.26,77655.26,2469.988483042844,0.2962307736088145,False
2025-10-10 21:10:00,112209.36,43.93,64.71,103735.04,2364.7405542469182,0.21074360946777684,False
2025-10-10 21:15:00,103975.26,46.65,64.71,103735.04,2326.8847531722367,0.22379215528503962,False
2025-10-10 21:20:00,108219.08,54.38,64.71,103735.04,2823.1649373466353,0.2608749711554224,False
2025-10-10 21:25:00,108432.09,61.34,64.71,103735.04,3190.7649386810717,0.29426389721724183,False
2025-10-10 21:30:00,111338.21,64.71,64.71,103735.04,3456.2794203246817,0.31043066170407096,False
2025-10-10 21:35:00,111399.71,64.15,64.15,103735.04,3428.261423189005,0.3077441963887522,False
2025-10-10 21:40:00,110809.05,63.14,63.14,103735.04,3356.394648031015,0.3028989643021951,False
2025-10-10 21:45:00,113104.41,62.47,62.47,103735.04,3389.5672540050164,0.29968480044279583,False
2025-12-01 00:25:00,88375.56,50.83,54.76,83939.9,2154.9911912005623,0.2438446999600978,False
2025-12-01 00:30:00,87950.0,51.02,54.76,83939.9,2152.630596622567,0.2447561792635096,False
2025-12-01 00:35:00,87859.87,51.52,54.76,83939.9,2171.4989389434554,0.24715480900932993,False
2025-12-01 00:40:00,87735.34,51.63,54.76,83939.9,2173.050901225103,0.24768250755341042,False
2025-12-01 00:45:00,87421.58,51.68,54.76,83939.9,2167.3765348902534,0.2479223705279924,False
2025-12-01 00:50:00,87150.71,51.81,54.76,83939.9,2166.0961610595214,0.24854601426190573,False
2025-12-01 00:55:00,87000.0,52.18,54.76,83939.9,2177.7927023821717,0.2503210002738128,False
2025-12-01 01:00:00,87429.37,52.57,54.76,83939.9,2204.8981687990745,0.25219193147555274,False
2025-12-05 16:45:00,88386.0,50.78,52.3,84483.79,2153.1257121801805,0.24360483698551585,False
